iter	Passed	Remaining
0	1526	608963
1	3101	617294
2	4741	627393
3	6379	631525
4	8006	632502
5	9714	637915
6	11399	640005
7	13054	639657
8	14730	639955
9	16363	638194
10	18004	636715
11	19808	640465
12	21460	638853
13	22921	631981
14	24498	628785
15	26130	627139
16	27812	626598
17	29483	625696
18	31258	626813
19	33036	627697
20	34591	624298
21	36245	622756
22	37861	620592
23	39325	616100
24	40987	614818
25	42683	613983
26	44194	610543
27	45926	610171
28	47879	612529
29	49803	614244
30	51499	613010
31	53189	611677
32	54716	608513
33	56296	606020
34	58107	605973
35	59733	603968
36	61572	604072
37	63346	603463
38	65042	602062
39	66691	600219
40	68357	598547
41	70153	597976
42	72087	598497
43	73774	596900
44	75566	596134
45	77227	594315
46	78939	592885
47	80679	591651
48	82200	588823
49	84087	588612
50	86346	590881
51	88461	592011
52	90234	590781
53	92082	590007
54	94199	590889
55	95829	588668
56	98003	589738
57	100298	591415
58	102384	591748
59	104167	590282
60	106152	589931
61	108207	589905
62	110285	589939
63	112275	589447
64	114312	589148
65	116245	588275
66	118094	586945
67	120232	587016
68	122033	585405
69	124055	584831
70	125968	583714
71	128033	583262
72	129963	582163
73	131970	581383
74	133914	580296
75	135824	579042
76	137852	578265
77	139795	577103
78	141886	576527
79	143835	575343
80	145986	574933
81	148056	574169
82	149837	572271
83	151660	570532
84	153182	567674
85	154570	564360
86	156102	561611
87	157582	558700
88	159174	556215
89	160510	552871
90	161766	549294
91	163104	546043
92	164393	542675
93	165599	539080
94	166942	535974
95	168296	532938
96	169686	530051
97	170996	526947
98	172262	523747
99	173591	520774
100	174980	518012
101	176514	515698
102	178016	513308
103	179683	511405
104	181426	509721
105	182902	507296
106	184595	505481
107	186004	502900
108	187483	500530
109	189041	498382
110	191242	497919
111	193432	497397
112	195649	496914
113	197901	496489
114	200302	496402
115	202674	496202
116	205083	496056
117	207973	497021
118	210431	496901
119	213080	497187
120	215600	497128
121	218413	497695
122	221331	498446
123	224439	499558
124	227563	500638
125	230682	501642
126	233509	501953
127	236082	501675
128	238550	501140
129	241344	501254
130	243844	500718
131	246487	500443
132	249312	500500
133	252940	502105
134	257161	504798
135	259479	503695
136	262500	503924
137	265226	503545
138	267503	502290
139	270068	501555
140	272182	499965
141	274309	498394
142	277039	497896
143	280857	499302
144	284313	499999
145	286964	499239
146	289889	498925
147	292866	498664
148	296207	498979
149	298727	497879
150	301135	496574
151	303429	495069
152	305787	493657
153	308148	492237
154	310528	490834
155	312956	489496
156	315202	487860
157	318226	487410
158	320982	486520
159	323603	485404
160	326080	484057
161	328691	482892
162	331126	481453
163	333406	479779
164	335718	478144
165	337999	476457
166	340351	474861
167	342644	473175
168	345113	471723
169	347413	470030
170	349733	468356
171	352147	466800
172	354496	465148
173	356887	463543
174	359243	461884
175	361689	460332
176	363976	458569
177	366341	456898
178	368696	455206
179	370813	453216
180	373250	451612
181	375659	449965
182	378045	448283
183	380373	446525
184	382956	445057
185	385586	443631
186	388198	442173
187	390586	440448
188	392882	438614
189	395255	436861
190	397618	435090
191	399935	433263
192	402146	431318
193	404331	429341
194	406746	427604
195	408878	425567
196	411259	423785
197	413509	421863
198	415901	420081
199	418235	418235
200	420614	416429
201	422847	414474
202	425046	412484
203	427327	410569
204	429660	408701
205	432099	406928
206	434500	405113
207	436783	403184
208	439018	401208
209	441332	399301
210	443637	397381
211	445966	395479
212	448240	393525
213	450548	391598
214	452807	389624
215	455270	387822
216	457607	385908
217	459956	384000
218	462258	382049
219	464530	380070
220	466887	378157
221	469138	376156
222	471543	374274
223	473759	372239
224	476055	370265
225	478450	368364
226	480703	366351
227	483040	364398
228	485287	362376
229	487659	360443
230	490019	358499
231	492386	356556
232	494823	354659
233	497212	352723
234	499627	350802
235	501927	348796
236	504175	346753
237	506636	344853
238	509140	342977
239	511285	340856
240	513227	338602
241	515478	336552
242	517471	334333
243	519358	332048
244	521311	329809
245	523181	327519
246	525105	325267
247	527232	323142
248	529194	320917
249	531138	318682
250	533022	316415
251	534922	314161
252	537382	312233
253	539214	309941
254	541173	307725
255	543129	305510
